subject,manual_t_cycle_idx,rt_interval_ms,t_detected_original,t_detected_detrended,error_original_ms,error_detrended_ms,error_diff_ms,in_window,cycle_std,baseline_drift,t_peak_orig,t_peak_detr
sel100,161,252.0,True,True,96.0,108.0,12.0,True,0.18975234714924183,-0.004999999999999893,185,188
sel100,157,240.0,True,True,80.0,100.0,20.0,True,0.18244425754244398,0.054999999999999716,177,132
sel100,168,264.0,True,True,88.0,88.0,0.0,True,0.1742324368236939,0.004999999999999893,190,190
sel100,155,244.0,True,True,108.0,112.0,4.0,True,0.19292796635975845,0.07000000000000028,182,183
sel100,167,256.0,True,True,88.0,0.0,-88.0,True,0.21301579320637187,-0.08999999999999986,189,167
sel100,173,272.0,True,True,132.0,132.0,0.0,True,0.17738611210137029,-0.01499999999999968,206,206
sel100,169,272.0,True,True,112.0,112.0,0.0,True,0.17941160953166238,0.009999999999999787,197,197
sel100,154,256.0,True,True,88.0,88.0,0.0,True,0.23146903873965893,0.1200000000000001,176,176
sel100,163,252.0,True,True,100.0,100.0,0.0,True,0.19234544282358235,0.05000000000000071,188,188
sel100,150,216.0,True,True,84.0,120.0,36.0,True,0.2282505941727959,-0.04499999999999993,171,180
sel100,175,264.0,True,True,112.0,112.0,0.0,True,0.174931324976524,-0.09999999999999964,203,203
sel100,156,228.0,True,True,112.0,116.0,4.0,True,0.19514364808630016,0.07500000000000018,184,185
sel100,152,224.0,True,True,92.0,108.0,16.0,True,0.2224276772064497,-0.024999999999999467,175,179
sel100,172,268.0,True,True,92.0,16.0,-76.0,True,0.18823544503211903,-0.03500000000000014,195,168
sel100,167,260.0,True,True,120.0,120.0,0.0,True,0.1978360243649382,0.0,197,197
sel100,147,232.0,True,True,104.0,104.0,0.0,True,0.2085294218789474,0.1200000000000001,173,173
sel100,150,228.0,True,True,92.0,96.0,4.0,True,0.21219660487690584,0.04500000000000082,173,174
sel100,163,252.0,True,True,92.0,108.0,16.0,True,0.18336070837286814,-0.024999999999999467,186,190
sel100,168,260.0,True,True,104.0,132.0,28.0,True,0.17673025302916492,-0.03000000000000025,194,201
sel100,167,272.0,True,True,92.0,92.0,0.0,True,0.20439298470024364,0.03500000000000014,190,190
sel100,165,256.0,True,True,100.0,100.0,0.0,True,0.20425980738954072,-0.020000000000000462,190,190
sel16539,186,304.0,True,True,4.0,4.0,0.0,True,0.2242098372872244,0.024999999999999994,187,187
sel16539,183,304.0,True,True,4.0,4.0,0.0,True,0.24085628481418558,0.07,184,184
sel16539,180,292.0,True,True,12.0,12.0,0.0,True,0.232148662654321,-0.06,183,183
sel16539,207,300.0,True,True,4.0,4.0,0.0,True,0.2108434458969165,-0.32,208,208
sel16539,203,260.0,True,True,4.0,4.0,0.0,True,0.21494212743770827,0.024999999999999994,204,204
